id,city,year,month,day,cloudiness,wind,temperature_min,temperature_max,temperature,humidity,pressure,dew,frost,fog,mist,haze,wind10,snow,snow_cover,rain
350190566,KRAK‡W-BALICE,2023,11,1,4.5,3.3,6.6,14.6,9.9,83,982.2,4,0,0,0,0,0,0,0,0
350190566,KRAK‡W-BALICE,2023,11,2,4.4,3.5,2.8,17.9,9.6,76.9,973.8,14.3,0,0,0,0,0,0,0,1
350190566,KRAK‡W-BALICE,2023,11,3,7.3,5.1,9.8,14.2,12.3,75.4,961.6,0,0,0,0,0,0.3,0,0,0.3
350190566,KRAK‡W-BALICE,2023,11,4,3.6,2.6,5.4,14.5,7.7,73.3,967.9,0,0,0,1.7,0,0,0,0,0
350190566,KRAK‡W-BALICE,2023,11,5,5.8,1.8,1,9.2,6,93.8,961.9,0,0,1.7,2.4,0,0,0,0,6.4
350190566,KRAK‡W-BALICE,2023,11,6,3.6,6.9,5.9,13.6,10.3,70.4,976.8,0,0,0,0.7,0,6.4,0,0,0.4
350190566,KRAK‡W-BALICE,2023,11,7,2.9,2.6,0.9,14.1,6.5,81.4,986.1,0,2,0,6.3,0,0,0,0,0.8
350190566,KRAK‡W-BALICE,2023,11,8,6.8,3,4.7,10.4,6.8,88.9,987.1,0,0,0,6.8,0,0,0,0,1.1
350190566,KRAK‡W-BALICE,2023,11,9,5.6,1.8,-0.3,13.7,6.1,75.9,985.6,0,0,0,3.5,0,0,0,0,0
350190566,KRAK‡W-BALICE,2023,11,10,7.5,1.8,3.3,11.6,7.5,83.8,978.3,0,0,0,4.9,0,0,0,0,10.8
350190566,KRAK‡W-BALICE,2023,11,11,7.9,2.3,6.5,8.8,7.2,93.3,973.9,0,0,0,19.2,0,0,0,0,11.9
350190566,KRAK‡W-BALICE,2023,11,12,6.8,3.6,4.9,7.3,5.5,89.6,979.4,0,0,0,8.2,0,0,0,0,0.4
350190566,KRAK‡W-BALICE,2023,11,13,6.8,1.9,1.9,7.5,4.3,82.1,983,0,0,0,2.6,0,0,0,0,4.1
350190566,KRAK‡W-BALICE,2023,11,14,6.9,6.3,1.2,12.2,9.7,77.1,976.4,0,0,0,1.5,0,3.1,0,0,4.4
350190566,KRAK‡W-BALICE,2023,11,15,7.4,6.5,7.6,11.5,8.6,83.5,978.9,0,0,0,0,0,0,0,0,2.4
350190566,KRAK‡W-BALICE,2023,11,16,7.5,1.9,4.2,9.5,6.4,90.8,986.4,0,0,0,5.9,0,0,0,0,5.4
350190566,KRAK‡W-BALICE,2023,11,17,8,4.5,2.6,6.9,4.9,91.5,982.4,0,0,0,7.8,0,0,0,0,2.5
350190566,KRAK‡W-BALICE,2023,11,18,8,3.8,1.1,4.1,2.1,87.9,991.9,0,0,0,0,0,0,0,0,0.8
350190566,KRAK‡W-BALICE,2023,11,19,7.9,2,0,3.5,2,90.8,986.2,0,0,0,10.8,0,0,0,0,3.8
350190566,KRAK‡W-BALICE,2023,11,20,7.9,3.5,2.5,8.7,7.6,93.9,980,0,0,0,2.7,0,0,0,0,9.3
350190566,KRAK‡W-BALICE,2023,11,21,7.9,4.1,6,8.7,6.7,92.6,982.4,0,0,0,4.2,0,0,0.8,0,1
350190566,KRAK‡W-BALICE,2023,11,22,8,2.6,-1.6,6.8,-1,90.5,995.7,0,0,0,4.8,0,0,4.7,2,0
350190566,KRAK‡W-BALICE,2023,11,23,7.3,8.3,-1.6,6.8,3.1,78.6,986,0,0,0,0,0,12.6,0,1,1.5
350190566,KRAK‡W-BALICE,2023,11,24,5.9,8.4,0.4,7.7,4.2,79,968.7,0,0,0,0,0,7.4,2,0,1.4
350190566,KRAK‡W-BALICE,2023,11,25,6,4.3,-1.1,1.4,0.3,89.3,971.2,0,0,0,0,0,0,9.5,0,0.6
350190566,KRAK‡W-BALICE,2023,11,26,6.6,5.4,-2,0.1,-1.1,82,979.2,0,0,0,0,0,0,8,2,0.3
350190566,KRAK‡W-BALICE,2023,11,27,6.4,2.8,-2.9,0.3,-1.8,81,978.8,0,0,0,4.8,0,0,5.8,3,1.6
350190566,KRAK‡W-BALICE,2023,11,28,8,4,-2.6,-0.8,-1.8,93.5,967.8,0,0,0,17.4,0,0,23.3,3,0.7
350190566,KRAK‡W-BALICE,2023,11,29,4.4,3.1,-8.1,-1.7,-5.1,86.4,978.4,0,0,0,12.9,0,0,0.3,5,0
350190566,KRAK‡W-BALICE,2023,11,30,4.9,1.3,-9.9,3.1,-2.9,83.1,976.7,0,0,0,9.3,0,0,0,4,0
350190566,KRAK‡W-BALICE,2022,11,1,5.6,3,5.5,16.5,9.9,89.5,990.4,6,0,4.6,4.6,0,0,0,0,0
350190566,KRAK‡W-BALICE,2022,11,2,5,3.4,8.5,16.6,11.9,81.8,993.3,14,0,0,2,0,0,0,0,0
350190566,KRAK‡W-BALICE,2022,11,3,3.1,2.1,2.2,14.3,8.5,80.4,992.2,3.3,0,0.3,6.6,0,0,0,0,0
350190566,KRAK‡W-BALICE,2022,11,4,6.6,2.6,6.7,15.3,10.5,78.9,979.9,0,0,0,6.3,0,0,0,0,4.4
350190566,KRAK‡W-BALICE,2022,11,5,7.9,3.3,8.3,12.1,9,92,985,0,0,0,9.8,0,0,0,0,10.8
350190566,KRAK‡W-BALICE,2022,11,6,6.5,2.5,6.2,9.7,8,88.9,991.4,5,0,0,7.1,0,0,0,0,0
350190566,KRAK‡W-BALICE,2022,11,7,4.9,2.5,6.7,12.2,8.2,85.4,989.3,10,0,0,11,0,0,0,0,0
350190566,KRAK‡W-BALICE,2022,11,8,2.1,1.1,0.8,16.2,6.9,82.4,990.3,5.4,0,0,10.4,0,0,0,0,0
350190566,KRAK‡W-BALICE,2022,11,9,3.4,0.1,-0.5,15.6,6.1,84.6,988.9,3.4,0,4.9,10,0,0,0,0,0
350190566,KRAK‡W-BALICE,2022,11,10,6.1,2,2,10.7,6.7,93.3,995.5,0,0,5.2,18.8,0,0,0,0,0.2
350190566,KRAK‡W-BALICE,2022,11,11,6.5,2.5,1.8,12.7,7.5,85.1,1003,7,0,1.2,7.7,0,0,0,0,0
350190566,KRAK‡W-BALICE,2022,11,12,4.6,1.9,1.9,13.3,6.8,84.9,1003.8,10.8,0,0,12.2,0,0,0,0,0
350190566,KRAK‡W-BALICE,2022,11,13,8,2.1,4,7,5.9,92.3,1002.3,15.4,0,1,23,0,0,0,0,0
350190566,KRAK‡W-BALICE,2022,11,14,8,3,4.4,5.8,4.9,97.3,996.6,0,0,14.8,9.3,0,0,0,0,0
350190566,KRAK‡W-BALICE,2022,11,15,6.9,1.1,2.8,8.9,5.8,94.8,987.1,0,0,10.7,10.5,0,0,0,0,2
350190566,KRAK‡W-BALICE,2022,11,16,8,2.6,4.6,7.9,6,94.8,977.6,0,0,4.3,16.6,0,0,0,0,12.7
350190566,KRAK‡W-BALICE,2022,11,17,8,5.9,0.6,4.6,1.4,91.4,976.5,0,0,0,0,0,0,2.6,0,0.7
350190566,KRAK‡W-BALICE,2022,11,18,8,4,-1.5,0.7,-0.8,87,975.8,0,0,0,6.4,0,0,9.1,2,0.3
350190566,KRAK‡W-BALICE,2022,11,19,6.3,2,-3.4,-0.8,-2.4,79.4,983.9,0,0,0,5.2,0,0,1.8,1,0
350190566,KRAK‡W-BALICE,2022,11,20,4.1,1.1,-8.4,-0.9,-4.4,91.5,983.3,0,0,0,24,0,0,2.3,0,0
350190566,KRAK‡W-BALICE,2022,11,21,6.5,1.6,-4.5,3,0,92.4,978.4,0,0,1.7,22.3,0,0,0,1,0.3
350190566,KRAK‡W-BALICE,2022,11,22,6,3.4,-2.9,4.9,0.9,92.5,977.2,0,0,7.5,5.3,0,0,0,0,0
350190566,KRAK‡W-BALICE,2022,11,23,7.5,4.1,-1.1,2.8,0,95.4,977.8,0,0,0,24,0,0,0,0,0
350190566,KRAK‡W-BALICE,2022,11,24,8,2.5,0.3,1.2,0.5,93.9,982.3,0,0,0,18.3,0,0,9.9,0,5.3
350190566,KRAK‡W-BALICE,2022,11,25,7.9,1.5,0.3,5.5,3,95,990,0,0,1.4,22.6,0,0,0,0,1.5
350190566,KRAK‡W-BALICE,2022,11,26,7.3,1.8,-0.7,5.8,3.8,94.3,996.8,0,0,5,12.7,0,0,0,0,0.3
350190566,KRAK‡W-BALICE,2022,11,27,8,1.4,1.8,5.3,2.7,89,1000.2,0,0,0,6.8,0,0,0,0,0
350190566,KRAK‡W-BALICE,2022,11,28,4.1,3.3,0,5.1,1.6,88.1,993.9,0,1,0,8.3,0,0,0,0,0
